subject_id,speech_rate,speech_rate_ratio,verbal_fluency,lexical_richness,word_repetition_score,voice_fluency_pauses,voice_fluency_weighted,pause_level1_count,pause_level2_count,pause_level3_count,total_pause_time,total_speaking_time
0352,0.9704,1.0,43,35,0.2286,5,5,5,0,0,12.0,32.31
0353,0.1824,1.0,10,10,0.0,7,17,3,3,1,47.66,7.18
0354,0.6107,0.96,32,24,0.2083,7,13,4,3,0,32.5,19.9
0355,0.9314,0.96,45,45,0.0,5,9,3,2,0,21.32,26.99
0356,0.4951,1.0,22,20,0.1,7,13,5,1,1,28.99,15.44
0357,0.3254,1.0,17,12,0.3333,6,18,2,2,2,41.26,10.98
0358,0.511,0.95,27,21,0.2381,7,11,5,2,0,29.59,23.25
0359,0.3461,0.92,19,19,0.0,6,16,3,1,2,42.15,12.74
0360,0.5288,1.0,26,20,0.3,8,12,6,2,0,29.47,19.71
0361,0.5515,0.94,27,24,0.0833,7,11,5,2,0,31.22,17.74
0362,0.7238,1.0,32,28,0.1429,8,10,7,1,0,23.79,20.42
0363,0.7937,0.95,41,17,0.4118,5,13,2,2,1,35.47,16.19
0364,0.3537,0.93,18,16,0.125,5,11,3,1,1,34.0,16.89
0365,0.5419,0.93,29,24,0.125,11,13,10,1,0,35.88,17.63
0366,0.1846,1.0,10,10,0.0,5,13,2,2,1,48.48,5.69
0367,0.9149,1.0,41,31,0.2581,5,7,4,1,0,14.28,30.54
0368,0.3528,1.0,18,18,0.0,9,17,5,4,0,41.07,9.96
0369,0.3904,1.0,21,21,0.0,7,17,3,3,1,41.05,12.75
0370,0.8052,1.0,37,29,0.1724,8,8,8,0,0,21.6,24.36
0371,0.6126,0.94,30,29,0.0345,5,11,2,3,0,26.1,22.87
0372,0.3107,0.88,15,15,0.0,8,14,6,1,1,41.78,6.5
0373,0.5568,1.0,28,28,0.0,7,13,4,3,0,30.83,19.45
0374,0.3549,0.9,19,18,0.0556,5,9,4,0,1,27.06,26.48
0375,0.5578,0.95,25,22,0.1364,6,10,4,2,0,23.58,21.23
0376,0.2224,0.9,12,12,0.0,2,6,1,0,1,45.52,8.45
0377,0.3575,1.0,20,17,0.1765,6,14,2,4,0,38.57,17.37
0379,0.4961,1.0,25,21,0.1905,4,8,3,0,1,28.97,21.42
0380,0.2259,1.0,13,13,0.0,8,18,4,3,1,49.92,7.62
0381,1.1725,1.0,58,30,0.4,1,1,1,0,0,3.07,46.4
0382,0.2739,0.88,15,14,0.0714,3,15,0,0,3,42.75,12.01
0383,0.3033,1.0,16,15,0.0667,7,15,4,2,1,38.81,13.94
0384,0.5736,0.93,29,29,0.0,7,11,5,2,0,27.76,22.79
0385,0.895,1.0,38,29,0.3103,5,7,4,1,0,15.78,26.67
0386,0.4931,1.0,26,22,0.1364,10,12,9,1,0,36.47,16.26
0387,0.4776,0.93,26,26,0.0,9,13,8,0,1,40.51,13.93
0388,0.3408,1.0,19,19,0.0,9,15,7,1,1,40.44,15.31
0389,0.9532,1.0,43,28,0.0714,6,8,5,1,0,21.84,23.27
